1st Cerebral Palsy Of Nj (Belleville, NJ)
Satanta Jr-Sr High (Satanta, KS)
Satellite Academy High School (New York, NY)
Satellite East Middle School (Brooklyn, NY)
Satellite High School (Seattle, WA)
Satellite Senior High School (Satellite Beach, FL)
Saticoy Elementary (North Hollywood, CA)
Sato Elementary School (Portland, OR)
Satsop Elementary (Satsop, WA)
Satsuma High School (Satsuma, AL)
Satterlee School (Greenville, MI)
Sau Tech Career Center (Camden, AR)
Saucon Valley Ms (Hellertown, PA)
Saucon Valley Shs (Hellertown, PA)
Sauganash Elem School (Chicago, IL)
Saugatuck High School (Saugatuck, MI)
Saugerties Senior High School (Saugerties, NY)
Saugus High (Saugus, CA)
Saugus High (Saugus, MA)
Sauk Centre Secondary (Sauk Centre, MN)
Sauk Elem School (Richton Park, IL)
Sauk Prairie High (Prairie Du Sac, WI)
Sauk Rapids Ecfe (Sauk Rapids, MN)
Sauk Rapids-Rice Senior High (Sauk Rapids, MN)
Saul W B Agricultural School (Philadelphia, PA)
Sault Area Career Center (Sault Sainte Marie, MI)
Sault Area High School (Sault Sainte Marie, MI)
Sault Area Middle School (Sault Sainte Marie, MI)
Saunders Trades & Technical High School (Yonkers, NY)
Sauquoit Valley Elementary School (Sauquoit, NY)
Sauquoit Valley High School (Sauquoit, NY)
Sava - Sacramento Academic And Vocational Academy - Egusd (Elk Grove, CA)
Sava - Sacramento Academic And Vocational Academy - Scusd (Sacramento, CA)
Sava - Sacramento Academic And Vocational Academy (Sacramento, CA)
Savage High School (Savage, MT)
Savanna Es (Savanna, OK)
Savanna High (Anaheim, CA)
Savanna HS (Savanna, OK)
Savannah Arts Academy (Savannah, GA)
Savannah Classical Academy Charter High School (Savannah, GA)
Savannah Country Day School (Savannah, GA)
Savannah Early College High School (Savannah, GA)
Savannah El (Aubrey, TX)
Savannah High (Savannah, MO)
Savary Academy For Virtual Education Save (Crawfordville, FL)
Savoy El (Savoy, TX)
Savoy H S (Savoy, TX)
Sawgrass Bay Elementary School (Clermont, FL)
Sawtelle Learning Center (Montclair, NJ)
Sawtooth Ridge Community (Coleville, CA)
Sawyer Elementary School (Sawyer, ND)
Sawyer Road Elementary School (Marietta, GA)
Saxony Lutheran High School (Jackson, MO)
Saydel High School (Des Moines, IA)
Sayen Elementary School (Hamilton, NJ)
Sayles School (Baltic, CT)
Sayre Area HS (Sayre, PA)
Sayre HS (Sayre, OK)
Sayre School (Lexington, KY)
Sayre William L Ms (Philadelphia, PA)
Sayreville Middle School (Parlin, NJ)
Sayreville War Memorial High School (Parlin, NJ)
Sayville High School (West Sayville, NY)
Sc Connections Academy (Columbia, SC)
Sc Governor'S School For Arts And Humanities (Greenville, SC)
Sc Governor'S School For Science And Mathematics (Hartsville, SC)
Sc School For The Blind High (Spartanburg, SC)
Sc School For The Deaf Elementary/Middle (Spartanburg, SC)
Sc School For The Deaf High (Spartanburg, SC)
Sc Whitmore School (Columbia, SC)
Scale Leadership Academy - East (Blythe, CA)
Scale School (Greensboro, NC)
Scales Mound High School (Scales Mound, IL)
Scammon Bay School (Scammon Bay, AK)
Scammon Elem School (Chicago, IL)
Scanlan Oaks El (Missouri City, TX)
Scappoose High School (Scappoose, OR)
Scarborough El (San Antonio, TX)
Scarborough Elem (Olathe, KS)
Scarborough H S (Houston, TX)
Scarborough High School (Scarborough, ME)
Scarlet Oaks Cdc (Cincinnati, OH)
Scarsdale Senior High School (Scarsdale, NY)
Scarville Lutheran School (Scarville, IA)
Scattergood Friends School (West Branch, IA)
Scavo Alternative High School (Des Moines, IA)
Scc Virtual Preparatory Academy (Ashville, AL)
Sccp Images (Spokane, WA)
Scecina Memorial High School (Indianapolis, IN)
Scenic Heights Elementary School (Pensacola, FL)
Scenic Hill Elementary School (Kent, WA)
Scenic Hills Christian Academy (San Antonio, TX)
Schaeffer Academy (Rochester, MN)
Schaefferstown Mennonite High School (Schaefferstown, PA)
Schafer Park Elementary (Hayward, CA)
Schaffner Traditional Elementary (Louisville, KY)
Schallenberger Elementary (San Jose, CA)
Schalmont High School (Schenectady, NY)
Schaumburg Christian School (Schaumburg, IL)
Schaumburg High School (Schaumburg, IL)
Schechter School Of Long Island (Williston Park, NY)
Scheck Hillel Community School (Miami, FL)
Schenck High School (East Millinocket, ME)
Schenectady High School (Schenectady, NY)
Schenevus Central School (Schenevus, NY)
Schertz El (Schertz, TX)
Schlarman Academy (Danville, IL)
Schlegel Road Elementary School (Webster, NY)
Schley County Elementary School (Ellaville, GA)
Schley Middle High School (Ellaville, GA)
Schmucker Middle School (Mishawaka, IN)
Schnee Learning Center (Cuyahoga Falls, OH)
Schochler El (Channelview, TX)
Schoenbar Middle School (Ketchikan, AK)
Schoharie High School (Schoharie, NY)
Scholar Plus Online Learning (Perris, CA)
Scholars Academy Gifted And Artistically Elite (Cary, NC)
Scholars Preparatory School (Burbank, CA)
Scholars' Academy (Rockaway Park, NY)
Scholze Center (Chattanooga, TN)
School #4 (Cliffside Park, NJ)
School 1 (Paterson, NJ)
School 10 (Paterson, NJ)
School 13 (Paterson, NJ)
School 13 (Yonkers, NY)
School 14 (Paterson, NJ)
School 2 (Oceanside, NY)
School 2 (Paterson, NJ)
School 20 (Paterson, NJ)
School 24 (Paterson, NJ)
School 25 (Paterson, NJ)
School 28 (Paterson, NJ)
School 3 (Dunkirk, NY)
School 33-Audubon (Rochester, NY)
School 34-Dr Louis A Cerulli (Rochester, NY)
School 39-Andrew J Townson (Rochester, NY)
School 4 (Oceanside, NY)
School 5 (Oceanside, NY)
School 58-World Of Inquiry School (Rochester, NY)
School 7 (Dunkirk, NY)
School 7-Oceanside Senior High School (Oceanside, NY)
School 8 (Paterson, NJ)
School 9m-Oceanside Middle School (Oceanside, NY)
School District 428 Iyc-Hrb (Harrisburg, IL)
School District Of The Menomonie Area 4k (Menomonie, WI)
School For Advanced Studies - South (Miami, FL)
School For Advanced Studies (Doral, FL)
School For Advanced Studies Homestead (Homestead, FL)
School For Advanced Studies North (Miami, FL)
School For Advanced Studies-Wolfson (Miami, FL)
School For Arts And Performance (Wales, WI)
School For Blind Elementary (Kansas City, KS)
School For Blind High (Kansas City, KS)
School For Children With Hidden Intelligence (Lakewood, NJ)
School For Classics High School (Brooklyn, NY)
School For Creative And Performing Arts (Cincinnati, OH)
School For Deaf High (Olathe, KS)
School For Entrepreneurship And Technology (San Diego, CA)
School For Examining Essential Questions Of Sustainability (Honolulu, HI)
School For Excellence (Bronx, NY)
School For Exceptional Children (Houma, LA)
School For Exceptional Studies (Lawrence, MA)
School For Human Rights (The) (Brooklyn, NY)
School For Independent Learners (Los Altos, CA)
School For Inquiry And Social Justice (The) (Bronx, NY)
School For The Deaf Schools (Little Rock, AR)
School For The Highly Gifted (Grand Prairie, TX)
School For The Talented And Gifted (Dallas, TX)
School For The Visual Arts And Humanities (Los Angeles, CA)
School For Tourism And Hospitality (Bronx, NY)
School Lane Cs (Bensalem, PA)
School No 92 (Elizabeth, NJ)
School No. 2 (Fort Lee, NJ)
School Of Architecture And Construction Trades (Paterson, NJ)
School Of Arts And Enterprise (Pomona, CA)
School Of Business And Management (Dallas, TX)
School Of Business And Tourism At Contreras Learning Complex (Los Angeles, CA)
School Of Business Technology Marketing And Finance (Paterson, NJ)
School Of Career And Technical Ed (New Albany, MS)
School Of Culinary Arts Hospitality And Tourism (Paterson, NJ)
School Of Dreams Academy (Los Lunas, NM)
School Of Earth And Space Science (Paterson, NJ)
School Of Education And Training (Paterson, NJ)
School Of Engineering & Sciences (Sacramento, CA)
School Of Environmental Studies (Apple Valley, MN)
School Of Expressive Arts And Learning (Seal) (Lombard, IL)
School Of Extended Educational Options (Pomona, CA)
School Of Faith In God (Royersford, PA)
School Of Government And Public Administration (Paterson, NJ)
School Of Health Professions (Dallas, TX)
School Of Health Science (Paterson, NJ)
School Of Humanities At Juliette Gordon Low (Savannah, GA)
School Of Information Technology (Paterson, NJ)
School Of Inquiry And Life Sciences (Asheville, NC)
School Of Knowledge (Indianapolis, IN)
School Of Options & Applied Research High (Eagle River, WI)
School Of Performing Arts (Bronx, NY)
School Of Science And Engineering (Dallas, TX)
School Of Science And Technology - Alamo (San Antonio, TX)
School Of Science And Technology (Brooklyn, NY)
School Of Science And Technology (San Antonio, TX)
School Of Science And Technology Corpus Christi (Corpus Christi, TX)
School Of Science Technology Engineering And Math (Newbury Park, CA)
School Of Science Technology Engineering And Mathematics (Paterson, NJ)
School Of Social Justice HS (Chicago, IL)
School Of The Arts (Rochester, NY)
School Of The Future (Philadelphia, PA)
School Of The Future High School (New York, NY)
School Of The Holy Child (Rye, NY)
School Of The Ozarks (Point Lookout, MO)
School Of The Woods (Houston, TX)
School Of Unlimited Learning (Fresno, CA)
School On Wheels High School (Albuquerque, NM)
School One (Providence, RI)
School Street El Sch (Bradford, PA)
School Street School (Boonton, NJ)
School To Life (Spokane Valley, WA)
School Without Walls (Rochester, NY)
School Without Walls HS (Washington, DC)
Schoolcraft High School (Schoolcraft, MI)
Schoolcraft Learning Community Chtr (Bemidji, MN)
Schoolcraft Middle School (Schoolcraft, MI)
Schroeder Elementary School (Troy, MI)
Schroon Lake Central School (Schroon Lake, NY)
Schroth School (Wanamassa, NJ)
Schubert Elem School (Chicago, IL)
Schulenburg El (Schulenburg, TX)
Schulenburg Secondary (Schulenburg, TX)
Schulte Elementary (Sturtevant, WI)
Schulter HS (Schulter, OK)
Schulze Academy For Technology And Arts (Detroit, MI)
Schulze El (Irving, TX)
Schurr High (Montebello, CA)
Schurz High School (Chicago, IL)
Schuyler Central High School (Schuyler, NE)
Schuyler Co. High (Queen City, MO)
Schuyler Industry Middle School (Rushville, IL)
Schuyler-Steuben-Chemung-Tioga-Allegany Boces (Painted Post, NY)
Schuylerville High School (Schuylerville, NY)
Schuylerville Preparatory High School (Bronx, NY)
Schuylkill Haven El Ctr (Schuylkill Haven, PA)
Schuylkill Haven Shs (Schuylkill Haven, PA)
Schuylkill Technology Centers-North Camp (Frackville, PA)
Schuylkill Technology Centers-South Camp (Mar Lin, PA)
Schuylkill Valley HS (Leesport, PA)
Schwarzkopf Elementary School (Lutz, FL)
Schweitzer El Sch (Levittown, PA)
Schwettman Education Center (New Port Richey, FL)
Sci Tech Engr Arts And Math At Legacy High Sch Complex (South Gate, CA)
Scicore Academy (Highstown, NJ)
Scicore Academy (Hightstown, NJ)
Science And Math Institute (Tacoma, WA)
Science And Technology Magnet School Of Southeastern Connect (New London, CT)
Science Ctr (Houston, TX)
Science Hill High School (Johnson City, TN)
Science Leadership Academy (Philadelphia, PA)
Science Park High School (Newark, NJ)
Science Skills Center High School (Brooklyn, NY)
Science Technology & Research Early College (Brooklyn, NY)
Scio Central School (Scio, NY)
Scio High School (Scio, OR)
Scioto County Career Technical Center (Lucasville, OH)
Sciotoville (Portsmouth, OH)
Scituate High School (North Scituate, RI)
Scituate High School (Scituate, MA)
Sco Family Services - Westbrook Prep School (Westbury, NY)
Scobey High School (Scobey, MT)
Score Academy (Boca Raton, FL)
Score Academy (Cary, NC)
Score At The Top Coral Springs Llc (Coral Springs, FL)
Score At The Top Learning  Center  - Wellington (Wellington, FL)
Score At The Top Palm Beach Llc (Palm Beach Gardens, FL)
Scotch Plains-Fanwood High School (Scotch Plains, NJ)
Scotia-Glenville Senior High School (Scotia, NY)
Scotland Christian Academy (Laurinburg, NC)
Scotland Co. High (Memphis, MO)
Scotland Elementary School (Ridgefield, CT)
Scotland Elementary School (Scotland, CT)
Scotland High School - 01 (Scotland, SD)
Scotland High School (Laurinburg, NC)
Scotland Neck Elementary Leadership Acad (Scotland Neck, NC)
Scotlandville Magnet High School (Baton Rouge, LA)
Scotlandville Pre-Engineering Academy (Baton Rouge, LA)
Scott Altman Primary School (Pekin, IL)
Scott Central Attendance Center (Forest, MS)
Scott City Elem. (Scott City, MO)
Scott City High (Scott City, KS)
Scott City High (Scott City, MO)
Scott City Lower Elem (Scott City, KS)
Scott Co. Central High (Sikeston, MO)
Scott Co. Middle (Benton, MO)
Scott County High School (Georgetown, KY)
Scott County Middle School (Georgetown, KY)
Scott El (Temple, TX)
Scott Elem School (Scott Air Force Base, IL)
Scott Elementary School (Portland, OR)
Scott Elementary School (Thomasville, GA)
Scott High School (Huntsville, TN)
Scott High School (Madison, WV)
Scott High School (Taylor Mill, KY)
Scott Jesse D Es (N Las Vegas, NV)
Scott Regional Tech Center (Monett, MO)
Scott River High (Etna, CA)
Scott Valley Community Day (Etna, CA)
Scott Valley Junior High (Fort Jones, CA)
Scott'S Branch High (Summerton, SC)
Scotts Branch Elementary (Baltimore, MD)
Scotts Elementary (Statesville, NC)
Scotts Hill High School (Reagan, TN)
Scotts Mills Elementary School (Scotts Mills, OR)
Scotts Valley High (Scotts Valley, CA)
Scottsbluff Senior High School (Scottsbluff, NE)
Scottsboro High School (Scottsboro, AL)
Scottsburg Senior High School (Scottsburg, IN)
Scottsdale Christian Academy (Phoenix, AZ)
Scottsdale Online Learning (Scottsdale, AZ)
Scottwood Elementary School (Columbus, OH)
Scouters Mountain Elementary (Happy Valley, OR)
Scps Consequence Unit (Sanford, FL)
Scranton Elementary (Scranton, SC)
Scranton High School (Scranton, AR)
Scranton High School (Scranton, ND)
Scranton HS (Scranton, PA)
Scranton Preparatory School (Scranton, PA)
Screven County High School (Sylvania, GA)
Screven County Middle School (Sylvania, GA)
Screven Elementary School (Screven, GA)
Scriber Lake High School (Edmonds, WA)
Scribner-Snyder Secondary Sch (Scribner, NE)
Scripps Ranch High (San Diego, CA)
Sculptor Charter School (Titusville, FL)
Scurlock Elementary (Raeford, NC)
Scurry-Rosser El (Scurry, TX)
Scurry-Rosser H S (Scurry, TX)
Scy High (Southern California Yeshiva High School) (San Diego, CA)
Sdsbvi High School - 02 (Aberdeen, SD)
Se Area Technical Skills Center (Walla Walla, WA)
Se Do Mo Cha Elementary School (Dover-Foxcroft, ME)
Se Neighborhood Sch Of Excellence (Indianapolis, IN)
Sea Cliff Elementary School (Sea Cliff, NY)
Sea Gate Elementary School (Naples, FL)
Sea Girt Elementary School (Sea Girt, NJ)
Sea Isle Elementary (Memphis, TN)
Sea Of Strengths Academy (Sarasota, FL)
Sea-Tech (Castle Hayne, NC)
Seabreeze High School (Daytona Beach, FL)
Seabury Hall (Makawao, HI)
Seacbec (Warren) (Warren, AR)
Seacoast Christian Academy (Jacksonville, FL)
Seacoast Learning Collaborative (Newton, NH)
Seacoast Performance Academy (Exeter, NH)
Seacoast School (Revere, MA)
Seacrest Country Day School (Naples, FL)
Seaford Elem (Seaford, VA)
Seaford Middle School (Seaford, DE)
Seaford Senior High School (Seaford, DE)
Seaford Senior High School (Seaford, NY)
Seagoville H S (Dallas, TX)
Seagoville North El (Dallas, TX)
Seagraves Schools (Seagraves, TX)
Seagull Academy (Riviera Beach, FL)
Seagull School (Fort Lauderdale, FL)
Sealey Elementary School (Tallahassee, FL)
Sealston Elem (King George, VA)
Sealy H S (Sealy, TX)
Seaman High (Topeka, KS)
Seamark Ranch (Green Cove Springs, FL)
Seapco Central (Peoria, IL)
Seapco Rise (Peoria, IL)
Seaport Academy (Chelsea, MA)
Searcy High School (Searcy, AR)
Searsport District High School (Searsport, ME)
Searsport District Middle School (Searsport, ME)
Seaside Children?S Center (Seaside, CA)
Seaside Christian Academy (Ocean City, MD)
Seaside High (Seaside, CA)
Seaside High School (Seaside, OR)
Seaside Middle School (Seaside, OR)
Seaside Neighborhood School (Santa Rosa Beach, FL)
Seattle Academy Of Arts And Sciences (Seattle, WA)
Seattle Christian Schools (Seatac, WA)
Seattle Hill Elementary (Everett, WA)
Seattle Lutheran High School (Seattle, WA)
Seattle Skills Center (Seattle, WA)
Seattle Voctech School (Bellevue, WA)
Seattle Waldorf High School (Seattle, WA)
Seattle Waldorf School (Seattle, WA)
Seattle World School (Seattle, WA)
Seaview Academy (Port Angeles, WA)
Seaview Elementary School (Linwood, NJ)
Sebastian Charter Junior High School (Sebastian, FL)
Sebastian River High School (Sebastian, FL)
Sebastian River Middle School (Sebastian, FL)
Sebastopol Attendance Center (Sebastopol, MS)
Sebeka Elementary (Sebeka, MN)
Sebeka Secondary (Sebeka, MN)
Sebree Elementary School (Sebree, KY)
Sebring High School (Sebring, FL)
Sebring Middle School (Sebring, FL)
Seca - Is (Richfield, MN)
Secaucus High School (Secaucus, NJ)
Seckman Middle (Imperial, MO)
Seckman Sr. High (Imperial, MO)
Second Avenue School (Eau Claire, WI)
Second Baptist School (Houston, TX)
Second Chance (Claxton, GA)
Second Chance Academy (Owingsville, KY)
Second Chance At Ghazvini Learning Center (Tallahassee, FL)
Second Creek Elementary School (Commerce City, CO)
Second District El Sch (Meadville, PA)
Second Start-Pine Hill School (San Jose, CA)
Second Street Elementary (Los Angeles, CA)
Secondary Academy For Success (Bothell, WA)
Secondary Alter Ctr (Harlingen, TX)
Secondary Area Learning Cntr Summer (Faribault, MN)
Secondary Lighthouse (Spring Lake Park, MN)
Secondary Sch At Raymond (Raymond, NE)
Secondary Special Education (Richfield, MN)
Secondary Student Success Center 802 (Miami, FL)
Secondary Student Success Center 803 (Miami, FL)
Secondary Student Success Center-804 (Miami, FL)
Secondary Technical Ed Prog S.T.E.P (Anoka, MN)
Section Elementary (Mukwonago, WI)
Section High School (Section, AL)
Sedalia Elementary (Columbus, OH)
Sedalia Middle School (Sedalia, MO)
Sedalia Park Elementary School (Marietta, GA)
Sedan Elem (Sedan, KS)
Sedan High (Sedan, KS)
Sedes Sapeintiae School Inc (Boonton, NJ)
Sedgwick High (Sedgwick, KS)
Sedona Charter School (Sedona, AZ)
Sedona Red Rock Junior/Senior High School (Sedona, AZ)
Sedona Sky Academy (Rimrock, AZ)
Sedro Woolley Senior High School (Sedro-Woolley, WA)
Sedway Marvin M Ms (N Las Vegas, NV)
Seeds Of Faith Christian Academy (Creekside, PA)
Seeds Of Health Elementary Program (Milwaukee, WI)
Seeger Memorial Jr-Sr High School (West Lebanon, IN)
Seekonk High (Seekonk, MA)
