18+ Program (Hastings, NE)
Ps 190 Sheffield (Brooklyn, NY)
Ps 194 Raoul Wallenberg (Brooklyn, NY)
Ps 196 Grand Central Parkway (Forest Hills, NY)
Ps 197 John B Russwurm (New York, NY)
Ps 199 Frederick Wachtel (Brooklyn, NY)
Ps 200 Benson School (Brooklyn, NY)
Ps 203 Floyd Bennett School (Brooklyn, NY)
Ps 203 Oakland Gardens (Bayside, NY)
Ps 204 Vince Lombardi (Brooklyn, NY)
Ps 205 Fiorello Laguardia (Bronx, NY)
Ps 207 (Bronx, NY)
Ps 209 (Bronx, NY)
Ps 21 Crispus Attucks (Brooklyn, NY)
Ps 21 Edward Hart (Flushing, NY)
Ps 212 (Jackson Heights, NY)
Ps 216 Arturo Toscanini (Brooklyn, NY)
Ps 217 Colonel David Marcus School (Brooklyn, NY)
Ps 220 Edward Mandel (Forest Hills, NY)
Ps 222 Katherine R Snyder (Brooklyn, NY)
Ps 223 Lyndon B Johnson (Jamaica, NY)
Ps 226 (New York, NY)
Ps 229 Dyker (Brooklyn, NY)
Ps 23 At Queens Children Center (Bellerose, NY)
Ps 23 New Children'S School (The) (Bronx, NY)
Ps 230 Doris L Cohen (Brooklyn, NY)
Ps 232 Lindenwood (Howard Beach, NY)
Ps 233 (Forest Hills, NY)
Ps 235 Janice Marie Knight School (Brooklyn, NY)
Ps 236 Langston Hughes (Bronx, NY)
Ps 24 (Brooklyn, NY)
Ps 241 Emma L Johnston (Brooklyn, NY)
Ps 247 (Brooklyn, NY)
Ps 25 Eubie Blake School (Brooklyn, NY)
Ps 251 Paerdegat (Brooklyn, NY)
Ps 253 (Brooklyn, NY)
Ps 255 (Flushing, NY)
Ps 256 (Syosset, NY)
Ps 256 Benjamin Banneker (Brooklyn, NY)
Ps 261 Philip Livingston (Brooklyn, NY)
Ps 273 (Richmond Hill, NY)
Ps 277 (Bronx, NY)
Ps 279 Herman Schreiber (Brooklyn, NY)
Ps 28 Thomas Emanuel Early Childhood Center (The) (Corona, NY)
Ps 280 (Jackson Heights, NY)
Ps 298 Dr Betty Shabazz (Brooklyn, NY)
Ps 3 Raul Julia Micro Society (Bronx, NY)
Ps 30 Hernandez/Hughes (New York, NY)
Ps 308 Clara Cardwell (Brooklyn, NY)
Ps 31 William T Davis (Staten Island, NY)
Ps 310 Marble Hill (Bronx, NY)
Ps 312 Bergen Beach (Brooklyn, NY)
Ps 316 Elijah Stroud (Brooklyn, NY)
Ps 319 (Brooklyn, NY)
Ps 32 Gifford School (The) (Staten Island, NY)
Ps 328 Phyllis Wheatley (Brooklyn, NY)
Ps 33 Edward M Funk (Queens Village, NY)
Ps 335 Granville T Woods (Brooklyn, NY)
Ps 340 (Bronx, NY)
Ps 345 Patrolman Robert Bolden (Brooklyn, NY)
Ps 35 (New York, NY)
Ps 36 (Brooklyn, NY)
Ps 36 Unionport (Bronx, NY)
Ps 360 (Saint Albans, NY)
Ps 361 East Flatbush Early Childhood School (Brooklyn, NY)
Ps 368 (Brooklyn, NY)
Ps 369 Coy L Cox School (Brooklyn, NY)
Ps 370 (Brooklyn, NY)
Ps 371 Lillian L Rashkis (Brooklyn, NY)
Ps 372 Children'S School (The) (Brooklyn, NY)
Ps 373 (Staten Island, NY)
Ps 4 (Brooklyn, NY)
Ps 42 Occupational Training Center (Buffalo, NY)
Ps 43 Jonas Bronck (Bronx, NY)
Ps 46 Albert V Maniscalco (Staten Island, NY)
Ps 46 Alley Pond (Bayside, NY)
Ps 46 Edward C Blum (Brooklyn, NY)
Ps 47 John Randolph (Bronx, NY)
Ps 48 William Wordsworth (Jamaica, NY)
Ps 49 Willis Avenue (Bronx, NY)
Ps 50 Frank Hankinson (Staten Island, NY)
Ps 50 Talfourd Lawn Elementary School (Jamaica, NY)
Ps 527 East Side School For Social Action (New York, NY)
Ps 53 (Brooklyn, NY)
Ps 54 Charles W Leng (Staten Island, NY)
Ps 56 Lewis H Latimer (Brooklyn, NY)
Ps 56 Norwood Heights (Bronx, NY)
Ps 58 School Of Heroes (The) (Maspeth, NY)
Ps 6 Corporal Allan F Kivlehan School (Staten Island, NY)
Ps 61 Arthur O Eve School Of Distinction (Buffalo, NY)
Ps 63 Old South (Ozone Park, NY)
Ps 64 Joseph P Addabbo (Ozone Park, NY)
Ps 66 School Of Higher Expectations (Bronx, NY)
Ps 67 Mohegan School (Bronx, NY)
Ps 7 Abraham Lincoln (Brooklyn, NY)
Ps 7 Louis F Simeone (Elmhurst, NY)
Ps 7 Samuel Stern (New York, NY)
Ps 71 Forest (Ridgewood, NY)
Ps 721 Brooklyn Occupational Training Center (Brooklyn, NY)
Ps 721 Manhattan Occupational Training Center (New York, NY)
Ps 721 Stephen Mcsweeney School (Bronx, NY)
Ps 723 (Bronx, NY)
Ps 74 Future Leaders Elementary School (Staten Island, NY)
Ps 74 Hamlin Park - Claude And Ouida Clapp Academy (Buffalo, NY)
Ps 748 Brooklyn School For Global Scholars (Brooklyn, NY)
Ps 753 School For Career Development (Brooklyn, NY)
Ps 77 (Brooklyn, NY)
Ps 77 Lower Lab School (New York, NY)
Ps 771 (Brooklyn, NY)
Ps 79 Horan School (New York, NY)
Ps 81 (Buffalo, NY)
Ps 81 Thaddeus Stevens (Brooklyn, NY)
Ps 811 (Bronx, NY)
Ps 811 Connie Lekas School (Brooklyn, NY)
Ps 811 Mickey Mantle School (New York, NY)
Ps 82 (Buffalo, NY)
Ps 83 Luis Munoz Rivera (New York, NY)
Ps 84 (Buffalo, NY)
Ps 84 Jose De Diego (Brooklyn, NY)
Ps 85 Great Expectations (Bronx, NY)
Ps 85 Judge Charles Vallone (Long Island City, NY)
Ps 86 Irvington (The) (Brooklyn, NY)
Ps 87 (Bronx, NY)
Ps 9 (Maspeth, NY)
Ps 9 Teunis G Bergen (Brooklyn, NY)
Ps 92 Harry T Stewart Sr (Corona, NY)
Ps 94 (New York, NY)
Ps 94 Kings College School (Bronx, NY)
Ps 96 Joseph Lanzetta (New York, NY)
Ps 97 (Bronx, NY)
Ps 993 (Floral Park, NY)
Ps Q811 (Little Neck, NY)
Ps/Is 119 Glendale (The) (Glendale, NY)
Ps/Is 137 Rachael Jean Mitchell (Brooklyn, NY)
Ps/Is 218 Rafael Hernandez Dual Language Magnet School (Bronx, NY)
Ps/Is 224 (Bronx, NY)
Ps/Is 295 (Queens Village, NY)
Ps/Is 384 Frances E Carter (Brooklyn, NY)
Psd Global Academy (Fort Collins, CO)
Psd Special Services (Puyallup, WA)
Psja Early College H S (San Juan, TX)
Psja Memorial Early College H S (Alamo, TX)
Psja North Early College H S (Pharr, TX)
Psja Sonia M Sotomayor H S (Pharr, TX)
Psja Southwest Early College H S (Pharr, TX)
Psja Thomas Jefferson T-Stem Early College H S (Pharr, TX)
Pt. Pleasant Intermediate (Pt. Pleasant, WV)
Ptarmigan Ridge Elementary School (Orting, WA)
Public Academy For Performing Arts (Albuquerque, NM)
Public Safety Academy (Fairfield, CA)
Public Safety Academy (San Bernardino, CA)
Public School Number Five (West New York, NJ)
Public School Number One (West New York, NJ)
Public School Number Two (West New York, NJ)
Public Service Community At Diego Rivera Learning Complex (Los Angeles, CA)
Public Service Leadership Academy At Fowler (Syracuse, NY)
Puc Cals Middle School And Early College High (Los Angeles, CA)
Puc Comm Charter Mid And Puc Comm Charter Early College High (Lake View Terrace, CA)
Puc Early College Academy For Leaders And Scholars (Ecals) (Los Angeles, CA)
Puc Lakeview Charter High (Sylmar, CA)
Puc Preparatory School (Angwin, CA)
Puc Triumph Charter Academy And Puc Triumph Charter High (Sylmar, CA)
Puckett Attendance Center (Puckett, MS)
Puckett El (Amarillo, TX)
Pueblo County High School (Pueblo, CO)
Pueblo De Los Angeles Continuation (Los Angeles, CA)
Pueblo Elementary School (Yuma, AZ)
Pueblo High School (Tucson, AZ)
Pueblo West Christian Academy (Pueblo, CO)
Pueblo West High School (Pueblo West, CO)
Pueblo Youth Service Center (Pueblo, CO)
Pueblos Royal Christian School (Pasadena, TX)
Puente Hills High (Hacienda Heights, CA)
Puget Sound Educational Service District (Renton, WA)
Puget Sound High School (Burien, WA)
Puget Sound Skills Center (Seattle, WA)
Puget Sounds Community School (Seattle, WA)
Pugsley Correctional Facility (Kingsley, MI)
Pulaski County Area Technology Center (Somerset, KY)
Pulaski County High School (Somerset, KY)
Pulaski County Sr. High (Dublin, VA)
Pulaski Elementary School (Savannah, GA)
Pulaski Governor'S Stem Academy (Dublin, VA)
Pulaski High (Milwaukee, WI)
Pulaski High (Pulaski, WI)
Pulaski Middle School (Pulaski, NY)
Pulaski Middle-High School (Pulaski, NY)
Pullman Christian School (Pullman, WA)
Pullman Elementary (Saint Paul Park, MN)
Pullman High School (Pullman, WA)
Pumpkin Delight School (Milford, CT)
Punahou School (Honolulu, HI)
Pungo Christian Academy (Belhaven, NC)
Punxsutawney Area HS (Punxsutawney, PA)
Purcell HS (Purcell, OK)
Purcell Jhs (Purcell, OK)
Purcell Marian High School (Cincinnati, OH)
Purchase Line Jshs (Commodore, PA)
Purchase Youth Village (Benton, KY)
Purdue Polytechnic High School Ind (Indianapolis, IN)
Purdy High (Purdy, MO)
Purnell Swett High (Pembroke, NC)
Pursuit Christian Academy (Formerly Faith Christia (Florence, SC)
Purvis High School (Purvis, MS)
Purvis Middle School (Purvis, MS)
Pusch Ridge Christian Academy Upper School (Tucson, AZ)
Put-In-Bay High School (Put-In-Bay, OH)
Putman Elementary School (Blanchester, OH)
Putnam Career & Technical Center (Eleanor, WV)
Putnam Central School (Putnam Station, NY)
Putnam City HS (Oklahoma City, OK)
Putnam City North HS (Oklahoma City, OK)
Putnam City West HS (Oklahoma City, OK)
Putnam Co Adult High School (Cookeville, TN)
Putnam Co Primary Sch (Granville, IL)
Putnam Co. High (Unionville, MO)
Putnam Co. Middle (Unionville, MO)
Putnam County Correctional Facility (Carmel, NY)
Putnam County High School (Eatonton, GA)
Putnam County High School (Granville, IL)
Putnam County Jr High School (Mc Nabb, IL)
Putnam Edge High School (Palatka, FL)
Putnam Heights Academy HS (Oklahoma City, OK)
Putnam High School (Milwaukie, OR)
Putnam High School (Putnam, CT)
Putnam Science Academy (Putnam, CT)
Putnam Valley High School (Putnam Valley, NY)
Putnam Virtual Franchise (Palatka, FL)
Putnam Virtual Instruction Program (District Provided) (Palatka, FL)
Putnam-Westchester Boces (Yorktown Heights, NY)
Puuhale Elementary School (Honolulu, HI)
Puxico High (Puxico, MO)
Puyallup High School (Puyallup, WA)
Puyallup Open Doors/Pod (Puyallup, WA)
Puyallup Parent Partnership Program (Puyallup, WA)
Pvonline (Phoenix, AZ)
Pxu City (Phoenix, AZ)
Pxu Digital Academy (Phoenix, AZ)
Pyburn El (Houston, TX)
Pyle (Sarah) Academy (Wilmington, DE)
Pymatuning Valley High School (Andover, OH)
Pymatuning Valley Primary Elementary School (Andover, OH)
Pyramid Lake High School (Nixon, NV)
